"filename", "language", "Docker", "HTML", "JSON", "JavaScript", "Markdown", "Shell Script", "Batch", "CSS", "C#", "XML", "SCSS", "YAML", "SQL", "comment", "blank", "total"
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\GetPurchasesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\GetPurchasesByPurchaserIdRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\GetPurchasesBySellerIdRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\GetPurchasesWithCompanyNamesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Purchases\UpdatePurchaseByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Accommodation\CreateAccommodationApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Accommodation\DeleteAccommodationByIdApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Accommodation\GetAccommodationByIdApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Accommodation\GetAccommodationsApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Accommodation\GetNumberOfAccommodationsApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Accommodation\UpdateAccommodationByIdApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Admin\GetAdminInformationApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\ApiResponseBaseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\CreateCompanyApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\DeleteCompanyByIdApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetCompaniesApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetCompanyByIdApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetCompanyIdByNameApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetCompanyNameByIdApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetCompanyNamesApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetEnteredCompaniesApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetEnteredCompaniesWithoutPurchaseApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetNotEnteredCompaniesApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetNumberOfCompaniesApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetNumberOfEnteredCompaniesApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetNumberOfEnteredCompaniesWithoutPurchaseApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetNumberOfNotEnteredCompaniesApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\GetTotalEndorsementApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Companies\UpdateCompanyByIdApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Responses\Purchases\CreatePurchaseApiResponseContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
